index,disease_name,description,Possible Steps,image_url
0,আপেল : স্ক্যাব,"আপেল এবং ক্র্যাবআপেল গাছের সবচেয়ে সাধারণ রোগ হলো স্ক্যাব। স্ক্যাব রোগটি একটি ফাঙ্গাসের কারণে হয়, যা গাছের পাতা এবং ফলকে আক্রান্ত করে। স্ক্যাবযুক্ত ফল সাধারণত খাওয়ার উপযোগী থাকে না। সংক্রমিত পাতা গুলির মধ্যে হলদেটে সবুজ থেকে বাদামী দাগ দেখা যায়। অনেক দাগযুক্ত পাতা হলুদ হয়ে যায় এবং আগেই ঝরে পড়ে। যদি বারবার পাতাগুলি ঝরে পড়ে, তবে গাছটি দুর্বল হয়ে পড়ে। স্ক্যাব নিয়ন্ত্রণে রোগ প্রতিরোধী জাত নির্বাচন করা সেরা উপায়।","যতটা সম্ভব রোগ প্রতিরোধী জাত নির্বাচন করুন। গাছের নিচে পাতা পরিষ্কার করে ফেলে দিন এবং সংক্রামিত পাতাগুলি ধ্বংস করুন, যাতে পরবর্তী বছরে ফাঙ্গাসের স্পোরগুলি ছড়িয়ে না পড়ে। সন্ধ্যায় বা সকালে পানি দিন (অতিভাবে পানি দেওয়া এড়িয়ে চলুন), যাতে পাতা শুকিয়ে যাওয়ার আগে সংক্রমণ না হয়। গাছের নিচে ৩-৬ ইঞ্চি গভীর কম্পোস্ট বিছিয়ে দিন, যা গাছের গায়ে লাগানো থেকে বিরত থাকবে, যাতে মাটি আচ্ছাদিত থাকে এবং ফাঙ্গাসের স্পোরগুলো ছড়িয়ে না পড়ে। সেরা নিয়ন্ত্রণের জন্য, তরল কপার সোপ প্রথমে স্প্রে করুন, যখন লক্ষণগুলি সাধারণত দেখা দেয় তার দুই সপ্তাহ আগে। বিকল্পভাবে, রোগ প্রথম দেখা দিলে স্প্রে শুরু করুন এবং ৭ থেকে ১০ দিন পর পর পুনরায় স্প্রে করুন, ফুল পড়ে যাওয়া পর্যন্ত।","https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg"
1,আপেল : ব্ল্যাক রট,"পাতার উপসর্গগুলো বসন্তের প্রথম দিকে দেখা দেয়, যখন পাতা মেলে। প্রথমে পাতার উপরের দিকে ছোট, বেগুনি দাগ দেখা যায় যা পরবর্তীতে গোলাকার ক্ষত হয়ে ১/৮ থেকে ১/৪ ইঞ্চি (৩-৬ মিমি) পরিমাপে বৃদ্ধি পায়। ক্ষতের সীমানা বেগুনি থাকে, আর মাঝখানটা সোনালী থেকে বাদামী হয়ে যায়। কয়েক সপ্তাহের মধ্যে, এই পাতার দাগগুলো আরও বাড়তে থাকে। মারাত্মকভাবে আক্রান্ত পাতাগুলো ক্লোরোটিক হয়ে পড়ে এবং পাতাগুলো ঝরে পড়ে। যত বড় হবে, কালো থেকে বাদামী বর্ণের পরিবর্তনশীল রেখাযুক্ত সাদা রিং দেখাবে। পচা এলাকার মাংস দৃঢ় এবং চামড়ার মতো থাকে। আক্রান্ত ফলের উপর কালো পিকনিডিয়া দেখা যায়।","গাছের কাঠি বা ক্যানকার ১৫ ইঞ্চি নিচে কেটে ফেলে দিন এবং তা পুড়িয়ে বা গর্তে পুঁতে ফেলুন। নতুন মৌসুমের কাঠি কাটা সময়েও সতর্কতা নিন এবং সেগুলো পুড়িয়ে ফেলুন। গাছ কাটার জন্য শীতকাল আদর্শ সময়। এতে গাছের আক্রমণ ঝুঁকি কমে যাবে। যদি গাছের ছাল ক্ষতিগ্রস্ত হয় বা ঝড়ে শাখা ভেঙে যায়, তবে সতর্কতা নিতে হবে। ব্ল্যাক রট এবং ফায়ার ব্লাইট থেকে রক্ষা পেতে কপারভিত্তিক ফাঙ্গিসাইড ব্যবহার করতে পারেন।","http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg"
2,আপেল : সিডার রাস্ট,"সিডার অ্যাপল রাস্ট (Gymnosporangium juniperi-virginianae) একটি ফাঙ্গাল রোগ, যা তার জটিল দুই বছরের জীবনচক্র সম্পূর্ণ করতে জুনিপার গাছ প্রয়োজন। স্পোরগুলি শীতকালীন অবস্থায় জুনিপার গাছের তরুণ ডালগুলিতে লাল-বাদামী গল হিসেবে থাকে। বসন্তে, সিক্ত আবহাওয়ায়, এই গলগুলি ফুলে ওঠে এবং উজ্জ্বল কমলা রঙের স্পোরগুলি বাতাসে উড়ে গিয়ে আপেল গাছকে আক্রমণ করে। সেগুলোর স্পোর যে বছর এপেল গাছে তৈরি হয়, পরের বছর তারা জুনিপার গাছে আক্রমণ করতে পারে। রোগটি বারবার জুনিপার থেকে আপেল, এবং আবার জুনিপারে যেতে থাকে, আপেল গাছের মধ্যে ছড়াতে পারে না।","যতটা সম্ভব প্রতিরোধী জাত নির্বাচন করুন। গাছের নিচে পড়ে থাকা পাতা ও অন্যান্য আবর্জনা পরিষ্কার করুন এবং ধ্বংস করুন। আক্রান্ত জুনিপার গাছ থেকে গলগুলো সরিয়ে ফেলুন। কিছু ক্ষেত্রে, জুনিপার গাছ সম্পূর্ণভাবে সরিয়ে ফেলতে হতে পারে। গাছের উপর স্পোর ছড়ানোর আগেই সাপ্তাহিক ভিত্তিতে প্রতিরোধী ফাঙ্গিসাইড প্রয়োগ করুন। জুনিপার গাছের উপর কপার সলিউশন (০.৫ থেকে ২.০ আউন্স/গ্যালন পানি) স্প্রে করতে হবে আগস্টের শেষ থেকে অক্টোবরের শেষ পর্যন্ত চারটি বার। অধিকাংশ ফাঙ্গাল এবং ব্যাকটেরিয়াল রোগের জন্য, SERENADE Garden ব্যবহার করুন। এটি একটি বায়ো-ফাঙ্গিসাইড যা মৌমাছি ও উপকারী কীটপতঙ্গের জন্য সম্পূর্ণ নিরাপদ।","https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg"
3,আপেল : স্বাস্থ্যকর,"অ্যাপেল সেরা জন্মায় যখন তা পূর্ণ সূর্যের আলোতে গাছ হয়, অর্থাৎ দৈনিক ছয় ঘণ্টা বা তার বেশি সূর্যের আলো। অ্যাপেল গাছের জন্য উত্তম অবস্থান হলো বাড়ির উত্তর পাশে, গাছের সারি বা উঁচু স্থানে, দক্ষিণে নয়। আপেল গাছের জন্য ভালভাবে নিষ্কাশিত মাটি প্রয়োজন, তবে কিছু আর্দ্রতা ধরে রাখার ক্ষমতা থাকা উচিত।","আপেল পুষ্টিকর।
আপেল ওজন কমানোর জন্য ভালো হতে পারে।
আপেল হৃদরোগের জন্য ভালো হতে পারে।
এগুলি ডায়াবেটিসের ঝুঁকি কমানোর সাথে সম্পর্কিত।
এগুলি প্রিবায়োটিক প্রভাব রাখতে পারে এবং গ্যাস্ট্রোইনটেস্টিনাল ব্যাকটেরিয়ার উন্নতি ঘটাতে সাহায্য করতে পারে।
আপেলে কিছু উপাদান ক্যান্সার প্রতিরোধ করতে সাহায্য করতে পারে।","https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg"
4,পটভূমি পাতা ছাড়াই, প্রদত্ত ছবিতে কোনো পাতা নেই, দয়া করে পাতাসহ ছবি পুনরায় আপলোড করুন, https://cdn.onlinewebfonts.com/svg/img_332817.png
5,ব্লুবেরি : স্বাস্থ্যকর,"ব্লুবেরি কম ক্যালোরির হলেও পুষ্টিতে সমৃদ্ধ। ...
ব্লুবেরি অ্যান্টিঅক্সিডেন্ট খাদ্যের রাজা। ...
ব্লুবেরি ডিএনএ ক্ষতি কমাতে সহায়ক, যা বার্ধক্য এবং ক্যান্সারের বিরুদ্ধে প্রতিরোধ গড়ে তুলতে সাহায্য করতে পারে। ...
ব্লুবেরি রক্তের কোলেস্টেরলকে ক্ষতিগ্রস্ত হওয়া থেকে রক্ষা করতে পারে। ...
ব্লুবেরি রক্তচাপ কমাতে সহায়ক।","গভীর, কম পিএইচ মুল্চ যেমন পিট মস, পাইন পাতাগুলি বা ভাল বয়সী ছাই জল সংরক্ষণে সহায়ক এবং মাটি জলস্তরের অস্থিরতা কমায়। ব্লুবেরি গাছগুলি দিনে জল পান করানো উচিত। মাটি আর্দ্র রাখুন কিন্তু অতিরিক্ত ভেজা যেন না থাকে। গাছগুলিকে প্রতি সপ্তাহে অন্তত ১ ইঞ্চি পানি দিন এবং ফল পাকানোর সময় ৪ ইঞ্চি পর্যন্ত পানি দিন। ব্লুবেরি গাছ শালীন-মূলযুক্ত একটি গাছ। অতএব, এটি এমন মাটির প্রয়োজন যা আর্দ্রতা ধরে রাখে, কিন্তু অতিরিক্ত ভেজা থাকে না এবং ভালভাবে নিষ্কাশনও হয়। ব্লুবেরি গাছগুলোকে সাইটে রোপণ করবেন না যেখানে ভারী, কাদামাটি থাকে যা ভেজা থাকে।", https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,চেরি : পাউডারি মিলডিউ,"প্রাথমিক লক্ষণগুলি, যা প্রায় ৭ থেকে ১০ দিন পরে প্রথম সেচের শুরু হওয়ার পর দেখা দেয়, হালকা গোলাকার, পাউডারি দেখতে দাগ তরতাজা পাতায় (যথেষ্ট না হওয়া, এবং হালকা সবুজ নতুন পাতায়)। পুরনো পাতা প্রাকৃতিকভাবে (অন্তর্বর্তী) পাউডারি মিলডিউ থেকে প্রতিরোধ তৈরি করে এবং সেগুলি নতুন পাতার তুলনায় অনেক বেশি প্রতিরোধী। প্রথমে রুট সাকার, গাছের অভ্যন্তরে বা গাছের গোড়ায় যেখানে আর্দ্রতা বেশি থাকে সেখানে পাতার সংক্রমণ দেখতে হবে। অন্যান্য ফাঙ্গি থেকে আলাদা, পাউডারি মিলডিউগুলি মুক্ত পানি প্রয়োজন হয় না প্রজনন ঘটানোর জন্য কিন্তু আর্দ্রতা বেশি হলে এটি উদ্ভিদ বৃদ্ধি করতে সাহায্য করে। রোগটি প্রথমে পাতার নিচের অংশে (অ্যাবাক্সিয়াল) শুরু হতে পারে কিন্তু পরবর্তী পর্যায়ে উভয় পাশে বিস্তার লাভ করতে পারে। ঋতু যত এগিয়ে যায় এবং সংক্রমণ বাতাসে ছড়িয়ে পড়ে, পাতা বিকৃত হতে শুরু করতে পারে, উপরে উঠে বাঁকানো। গুরুতর সংক্রমণ পাতা বেঁকাতে এবং ঘুরিয়ে ফেলতে পারে। নতুন পাতা সৃজনশীলভাবে ছোট হতে শুরু করতে পারে, সাধারণত ফ্যাকাশে হতে পারে এবং বিকৃত হতে পারে।","কাটা অংশে জীবাণুনাশক ব্যবহার করে তা পরিষ্কার করুন, তারপর গাছের আক্রান্ত অংশগুলো ছিঁড়ে ফেলে দিন। একই সময়ে, বাকী পাতাগুলিকে রক্ষা করতে ফাংগিসাইড স্প্রে করুন। আপনাকে বারবার স্প্রে করতে হবে এবং তার পরবর্তী নির্দেশাবলী অনুযায়ী গাছের স্বাস্থ্য রক্ষা করতে হবে।", http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,চেরি : স্বাস্থ্যকর,"সোর্চ এবং মিষ্টি চেরির মধ্যে যতটা পার্থক্য নেই যতটা যত্নের ক্ষেত্রে।
আর্দ্রতা ধরে রাখতে মাটি ছড়িয়ে দিন।
গাছের উপর জাল ঢেকে দিন যাতে পাখি ফল খেতে না পারে।
শুকনো এলাকায় নিয়মিত জল দিন।
চেরি গাছের ফল ঝরানোর কাজ সাধারনত গাছ নিজেই করে দেয়, তাই ফল ঝরানোর জন্য কোনো ব্যবস্থা নেওয়া প্রয়োজন নেই।","পুষ্টির পূর্ণ উৎস।
অ্যান্টিঅক্সিডেন্ট এবং প্রদাহ বিরোধী যৌগে সমৃদ্ধ।
ব্যায়াম থেকে পুনরুদ্ধারে সহায়তা করতে পারে।
হৃদযন্ত্রের স্বাস্থ্যের জন্য উপকারী।
আরথ্রাইটিস এবং গাউটের উপসর্গে উপকারী।
ঘুমের গুণমান উন্নত করতে পারে।
আপনার খাদ্যতালিকায় সহজে যুক্ত করা যায়।", https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,ভুট্টা : সারকোস্পোরা পাতা দাগ | ধূসর পাতা দাগ,"ভুট্টার ধূসর পাতা দাগ, যা ছত্রাক সারকোস্পোরা জি-মাইডিস (Cercospora zeae-maydis) দ্বারা সৃষ্ট, এটি একটি বার্ষিক এবং অর্থনৈতিকভাবে ক্ষতিকর রোগ। 1990-এর দশকের মাঝামাঝি থেকে, এই রোগটির গুরুত্ব ইন্ডিয়ানায় বেড়েছে এবং বর্তমানে এটি রাজ্যের ভুট্টার অন্যতম গুরুত্বপূর্ণ পত্র রোগ। ধূসর পাতা দাগ রোগটি ছত্রাক পাইরিকুলারিয়া গ্রিসিয়া (Pyricularia grisea), যা ম্যাগনাপোর্থি গ্রিসিয়া (Magnaporthe grisea) নামেও পরিচিত, দ্বারা সৃষ্ট। ফ্লোরিডার উষ্ণ ও বৃষ্টিপ্রবণ আবহাওয়া এই ছত্রাকজনিত রোগের জন্য সহায়ক পরিবেশ তৈরি করে। এই ছত্রাক বৃদ্ধি ধীর করে, পুরোনো ক্ষেত দুর্বল করে এবং বড় এলাকায় ফসল মেরে ফেলতে পারে।","গভীরভাবে সেচ দিন, কিন্তু ঘন ঘন নয়।
যখন রোগ সক্রিয় থাকে, তখন লনে পোস্ট-এমার্জেন্ট আগাছা হত্যাকারী ব্যবহার এড়িয়ে চলুন।
মাঝারি থেকে উচ্চ নাইট্রোজেন সার প্রয়োগ এড়িয়ে চলুন।
লনে বাতাস চলাচল এবং আলোর মাত্রা উন্নত করুন।
যথাযথ উচ্চতায় ঘাস কাটুন এবং কেবল তখনই কাটুন যখন ঘাস শুকনো থাকে।",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,ভুট্টা : সাধারণ মরিচা,"যদিও ভুট্টার ক্ষেতে মরিচার কয়েকটি ফোস্কা সারা মৌসুম জুড়ে পাওয়া যেতে পারে, তবুও সাধারণত তুষপতনের পর লক্ষণগুলো দেখা যায়। এগুলো সহজেই চিনতে এবং অন্যান্য রোগ থেকে আলাদা করা যায়। এর বৈশিষ্ট্য হলো ভুট্টার পাতার উপরের এবং নিচের উভয় পৃষ্ঠে ছোট, ডিম্বাকার থেকে লম্বাটে, গাঢ় লালচে-বাদামী ফোস্কা (ইউরিডিনিয়া) বিকশিত হয়। এই ফোস্কাগুলো গাছের যেকোনো উপরের অংশে দেখা যেতে পারে, তবে পাতায় সবচেয়ে বেশি থাকে। ফোস্কাগুলো সাধারণত ১/৪ ইঞ্চি দীর্ঘের কম হয় এবং পাতা পর্দার স্তরের চারপাশে থাকে যেখানে এটি ভেঙে গেছে।","ভুট্টার মরিচার প্রকোপ কমাতে, কেবল সেই জাতের ভুট্টা চাষ করুন যা ছত্রাক প্রতিরোধী। প্রতিরোধ হয় রেস-নির্দিষ্ট প্রতিরোধ বা আংশিক মরিচা প্রতিরোধ আকারে। যেকোনো ক্ষেত্রে, মিষ্টি ভুট্টা সম্পূর্ণরূপে প্রতিরোধী নয়। যদি ভুট্টায় সংক্রমণের লক্ষণ দেখা দেয়, তাহলে অবিলম্বে একটি ফাঙ্গিসাইড দিয়ে স্প্রে করুন।",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
